20-08-01 17:16:44.730 : testsets\face_data
20-08-01 17:16:45.004 : ---1--> 000001.jpg
20-08-01 17:16:45.892 : ---2--> 000002.jpg
20-08-01 17:16:45.915 : ---3--> 000003.jpg
20-08-01 17:16:45.937 : ---4--> 000004.jpg
20-08-01 17:16:45.958 : ---5--> 000005.jpg
20-08-01 17:16:45.980 : ---6--> 000006.jpg
20-08-01 17:16:46.003 : ---7--> 000007.jpg
20-08-01 17:16:46.028 : ---8--> 000008.jpg
20-08-01 17:16:46.050 : ---9--> 000009.jpg
20-08-01 17:16:46.074 : --10--> 000010.jpg
20-08-01 17:16:46.097 : --11--> 000011.jpg
20-08-01 17:16:46.120 : --12--> 000012.jpg
20-08-01 17:16:46.141 : --13--> 000013.jpg
20-08-01 17:16:46.164 : --14--> 000014.jpg
20-08-01 17:16:46.185 : --15--> 000015.jpg
20-08-01 17:16:46.207 : --16--> 000016.jpg
20-08-01 17:16:46.235 : --17--> 000017.jpg
20-08-01 17:16:46.258 : --18--> 000018.jpg
20-08-01 17:16:46.277 : --19--> 000019.jpg
20-08-01 17:16:46.299 : --20--> 000020.jpg
20-08-01 17:16:46.321 : --21--> 000021.jpg
20-08-01 17:16:46.339 : --22--> 000022.jpg
20-08-01 17:16:46.357 : --23--> 000023.jpg
20-08-01 17:16:46.381 : --24--> 000024.jpg
20-08-01 17:16:46.399 : --25--> 000025.jpg
20-08-01 17:16:46.418 : --26--> 000026.jpg
20-08-01 17:16:46.439 : --27--> 000027.jpg
20-08-01 17:16:46.461 : --28--> 000028.jpg
20-08-01 17:16:46.482 : --29--> 000029.jpg
20-08-01 17:16:46.503 : --30--> 000030.jpg
20-08-01 17:16:46.520 : --31--> 000031.jpg
20-08-01 17:16:46.538 : --32--> 000032.jpg
20-08-01 17:16:46.556 : --33--> 000033.jpg
20-08-01 17:16:46.577 : --34--> 000034.jpg
20-08-01 17:16:46.598 : --35--> 000035.jpg
20-08-01 17:16:46.619 : --36--> 000036.jpg
20-08-01 17:16:46.642 : --37--> 000037.jpg
20-08-01 17:16:46.668 : --38--> 000038.jpg
20-08-01 17:16:46.691 : --39--> 000039.jpg
20-08-01 17:16:46.714 : --40--> 000040.jpg
20-08-01 17:16:46.736 : --41--> 000041.jpg
20-08-01 17:16:46.762 : --42--> 000042.jpg
20-08-01 17:16:46.786 : --43--> 000043.jpg
20-08-01 17:16:46.809 : --44--> 000044.jpg
20-08-01 17:16:46.834 : --45--> 000045.jpg
20-08-01 17:16:46.857 : --46--> 000046.jpg
20-08-01 17:16:46.877 : --47--> 000047.jpg
20-08-01 17:16:46.902 : --48--> 000048.jpg
20-08-01 17:16:46.928 : --49--> 000049.jpg
20-08-01 17:16:46.958 : --50--> 000050.jpg
20-08-01 17:16:46.980 : --51--> 000051.jpg
20-08-01 17:16:47.001 : --52--> 000052.jpg
20-08-01 17:16:47.027 : --53--> 000053.jpg
20-08-01 17:16:47.049 : --54--> 000054.jpg
20-08-01 17:16:47.071 : --55--> 000055.jpg
20-08-01 17:16:47.092 : --56--> 000056.jpg
20-08-01 17:16:47.113 : --57--> 000057.jpg
20-08-01 17:16:47.134 : --58--> 000058.jpg
20-08-01 17:16:47.156 : --59--> 000059.jpg
20-08-01 17:16:47.179 : --60--> 000060.jpg
