20-08-04 18:36:22.488 : testsets\data-1
20-08-04 18:36:22.497 : ---1-->      0.jpg
20-08-04 18:36:23.285 : ---2-->      1.jpg
20-08-04 18:36:23.294 : ---3-->     10.jpg
20-08-04 18:36:23.301 : ---4-->    100.jpg
20-08-04 18:36:23.312 : ---5-->   1000.jpg
20-08-04 18:36:23.328 : ---6-->   1001.jpg
20-08-04 18:36:23.337 : ---7-->   1002.jpg
20-08-04 18:36:23.347 : ---8-->   1003.jpg
20-08-04 18:36:23.359 : ---9-->   1004.jpg
20-08-04 18:36:23.371 : --10-->   1005.jpg
20-08-04 18:36:23.381 : --11-->   1006.jpg
20-08-04 18:36:23.394 : --12-->   1007.jpg
20-08-04 18:36:23.403 : --13-->   1008.jpg
20-08-04 18:36:23.417 : --14-->   1009.jpg
20-08-04 18:36:23.425 : --15-->    101.jpg
20-08-04 18:36:23.442 : --16-->   1010.jpg
20-08-04 18:36:23.452 : --17-->   1011.jpg
20-08-04 18:36:23.459 : --18-->   1012.jpg
20-08-04 18:36:23.467 : --19-->   1013.jpg
20-08-04 18:36:23.475 : --20-->   1014.jpg
20-08-04 18:36:23.486 : --21-->   1015.jpg
20-08-04 18:36:23.497 : --22-->   1016.jpg
20-08-04 18:36:23.513 : --23-->   1017.jpg
20-08-04 18:36:23.524 : --24-->   1018.jpg
20-08-04 18:36:23.534 : --25-->   1019.jpg
20-08-04 18:36:23.545 : --26-->    102.jpg
20-08-04 18:36:23.568 : --27-->   1020.jpg
20-08-04 18:36:23.578 : --28-->   1021.jpg
20-08-04 18:36:23.590 : --29-->   1022.jpg
20-08-04 18:36:23.599 : --30-->   1023.jpg
20-08-04 18:36:23.610 : --31-->   1024.jpg
20-08-04 18:36:23.618 : --32-->   1025.jpg
20-08-04 18:36:23.629 : --33-->   1026.jpg
20-08-04 18:36:23.638 : --34-->   1027.jpg
20-08-04 18:36:23.651 : --35-->   1028.jpg
20-08-04 18:36:23.662 : --36-->   1029.jpg
20-08-04 18:36:23.670 : --37-->    103.jpg
20-08-04 18:36:23.682 : --38-->   1030.jpg
20-08-04 18:36:23.695 : --39-->   1031.jpg
20-08-04 18:36:23.704 : --40-->   1032.jpg
20-08-04 18:36:23.716 : --41-->   1033.jpg
20-08-04 18:36:23.727 : --42-->   1034.jpg
20-08-04 18:36:23.737 : --43-->   1035.jpg
20-08-04 18:36:23.747 : --44-->   1036.jpg
20-08-04 18:36:23.754 : --45-->   1037.jpg
20-08-04 18:36:23.762 : --46-->   1038.jpg
20-08-04 18:36:23.769 : --47-->   1039.jpg
20-08-04 18:36:23.775 : --48-->    104.jpg
20-08-04 18:36:23.786 : --49-->   1040.jpg
20-08-04 18:36:23.796 : --50-->   1041.jpg
20-08-04 18:36:23.808 : --51-->   1042.jpg
20-08-04 18:36:23.815 : --52-->   1043.jpg
20-08-04 18:36:23.827 : --53-->   1044.jpg
20-08-04 18:36:23.834 : --54-->   1045.jpg
20-08-04 18:36:23.845 : --55-->   1046.jpg
20-08-04 18:36:23.853 : --56-->   1047.jpg
20-08-04 18:36:23.864 : --57-->   1048.jpg
20-08-04 18:36:23.871 : --58-->   1049.jpg
20-08-04 18:36:23.879 : --59-->    105.jpg
20-08-04 18:36:23.888 : --60-->   1050.jpg
20-08-04 18:36:23.896 : --61-->   1051.jpg
20-08-04 18:36:23.903 : --62-->   1052.jpg
20-08-04 18:36:23.912 : --63-->   1053.jpg
20-08-04 18:36:23.920 : --64-->   1054.jpg
20-08-04 18:36:23.930 : --65-->   1055.jpg
20-08-04 18:36:23.940 : --66-->   1056.jpg
20-08-04 18:36:23.952 : --67-->   1057.jpg
20-08-04 18:36:23.963 : --68-->   1058.jpg
20-08-04 18:36:23.971 : --69-->   1059.jpg
20-08-04 18:36:23.980 : --70-->    106.jpg
20-08-04 18:36:23.990 : --71-->   1060.jpg
20-08-04 18:36:24.002 : --72-->   1061.jpg
20-08-04 18:36:24.013 : --73-->   1062.jpg
20-08-04 18:36:24.023 : --74-->   1063.jpg
20-08-04 18:36:24.035 : --75-->   1064.jpg
20-08-04 18:36:24.046 : --76-->   1065.jpg
20-08-04 18:36:24.058 : --77-->   1066.jpg
20-08-04 18:36:24.078 : --78-->   1067.jpg
20-08-04 18:36:24.095 : --79-->   1068.jpg
20-08-04 18:36:24.105 : --80-->   1069.jpg
20-08-04 18:36:24.116 : --81-->    107.jpg
20-08-04 18:36:24.124 : --82-->   1070.jpg
20-08-04 18:36:24.133 : --83-->   1071.jpg
20-08-04 18:36:24.144 : --84-->   1072.jpg
20-08-04 18:36:24.153 : --85-->   1073.jpg
20-08-04 18:36:24.164 : --86-->   1074.jpg
20-08-04 18:36:24.177 : --87-->   1075.jpg
20-08-04 18:36:24.190 : --88-->   1076.jpg
20-08-04 18:36:24.199 : --89-->   1077.jpg
20-08-04 18:36:24.212 : --90-->   1078.jpg
20-08-04 18:36:24.222 : --91-->   1079.jpg
20-08-04 18:36:24.233 : --92-->    108.jpg
20-08-04 18:36:24.248 : --93-->   1080.jpg
20-08-04 18:36:24.259 : --94-->   1081.jpg
20-08-04 18:36:24.271 : --95-->   1082.jpg
20-08-04 18:36:24.281 : --96-->   1083.jpg
20-08-04 18:36:24.294 : --97-->   1084.jpg
20-08-04 18:36:24.305 : --98-->   1085.jpg
20-08-04 18:36:24.318 : --99-->   1086.jpg
20-08-04 18:36:24.328 : -100-->   1087.jpg
20-08-04 18:36:24.338 : -101-->   1088.jpg
20-08-04 18:36:24.348 : -102-->   1089.jpg
20-08-04 18:36:24.361 : -103-->    109.jpg
20-08-04 18:36:24.370 : -104-->   1090.jpg
20-08-04 18:36:24.381 : -105-->   1091.jpg
20-08-04 18:36:24.392 : -106-->   1092.jpg
20-08-04 18:36:24.400 : -107-->   1093.jpg
20-08-04 18:36:24.411 : -108-->   1094.jpg
20-08-04 18:36:24.421 : -109-->   1095.jpg
20-08-04 18:36:24.431 : -110-->   1096.jpg
20-08-04 18:36:24.439 : -111-->   1097.jpg
20-08-04 18:36:24.448 : -112-->   1098.jpg
20-08-04 18:36:24.461 : -113-->   1099.jpg
20-08-04 18:36:24.472 : -114-->     11.jpg
20-08-04 18:36:24.482 : -115-->    110.jpg
20-08-04 18:36:24.494 : -116-->   1100.jpg
20-08-04 18:36:24.516 : -117-->   1101.jpg
20-08-04 18:36:24.531 : -118-->   1102.jpg
20-08-04 18:36:24.541 : -119-->   1103.jpg
20-08-04 18:36:24.558 : -120-->   1104.jpg
20-08-04 18:36:24.568 : -121-->   1105.jpg
20-08-04 18:36:24.583 : -122-->   1106.jpg
20-08-04 18:36:24.593 : -123-->   1107.jpg
20-08-04 18:36:24.604 : -124-->   1108.jpg
20-08-04 18:36:24.613 : -125-->   1109.jpg
20-08-04 18:36:24.628 : -126-->    111.jpg
20-08-04 18:36:24.637 : -127-->   1110.jpg
20-08-04 18:36:24.646 : -128-->   1111.jpg
20-08-04 18:36:24.662 : -129-->   1112.jpg
20-08-04 18:36:24.673 : -130-->   1113.jpg
20-08-04 18:36:24.687 : -131-->   1114.jpg
20-08-04 18:36:24.698 : -132-->   1115.jpg
20-08-04 18:36:24.709 : -133-->   1116.jpg
20-08-04 18:36:24.719 : -134-->   1117.jpg
20-08-04 18:36:24.734 : -135-->   1118.jpg
20-08-04 18:36:24.746 : -136-->   1119.jpg
20-08-04 18:36:24.765 : -137-->    112.jpg
20-08-04 18:36:24.777 : -138-->   1120.jpg
20-08-04 18:36:24.786 : -139-->   1121.jpg
20-08-04 18:36:24.797 : -140-->   1122.jpg
20-08-04 18:36:24.806 : -141-->   1123.jpg
20-08-04 18:36:24.820 : -142-->   1124.jpg
20-08-04 18:36:24.831 : -143-->   1125.jpg
20-08-04 18:36:24.846 : -144-->   1126.jpg
20-08-04 18:36:24.858 : -145-->   1127.jpg
20-08-04 18:36:24.869 : -146-->   1128.jpg
20-08-04 18:36:24.879 : -147-->   1129.jpg
20-08-04 18:36:24.892 : -148-->    113.jpg
20-08-04 18:36:24.902 : -149-->   1130.jpg
20-08-04 18:36:24.913 : -150-->   1131.jpg
